City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Riberalta,BO,2022-12-21 04:40:12,-10.9833,-66.1,70.92,100,100,2.64
283,Santa Barbara,US,2022-12-21 04:44:51,34.7333,-120.0343,54.59,96,0,4.61
284,Saint-Pierre,RE,2022-12-21 04:44:51,-21.3393,55.4781,82.08,57,0,6.91
285,Qaqortoq,GL,2022-12-21 04:44:18,60.7167,-46.0333,8.65,61,0,8.81
286,Nouadhibou,MR,2022-12-21 04:44:52,20.931,-17.0347,67.98,45,0,14.97
287,Sakaiminato,JP,2022-12-21 04:44:52,35.55,133.2333,46.38,66,75,10.36
288,Perambalur,IN,2022-12-21 04:44:53,11.2333,78.8833,78.21,70,99,11.27
289,Dawlatabad,AF,2022-12-21 04:44:53,36.4141,64.9053,43.14,57,85,3.33
290,Dogondoutchi,NE,2022-12-21 04:44:54,13.6393,4.0287,67.08,25,100,9.6
291,Yanji,CN,2022-12-21 04:44:55,42.9075,129.5078,19.85,83,100,1.19
292,Hasaki,JP,2022-12-21 04:44:55,35.7333,140.8333,55.29,57,99,7.0
